energy[eV] flux[erg/cm^2/s]
2.04334e-5	1.43250e-15
2.37912e-5	2.28582e-15
2.71564e-5	3.50642e-15
3.09976e-5	5.46982e-15
3.70591e-5	8.23819e-15
4.31489e-5	1.30890e-14
4.92522e-5	2.00783e-14
5.62189e-5	3.06710e-14
6.63288e-5	4.82481e-14
7.82569e-5	7.09716e-14
9.23301e-5	1.00952e-13
1.01289e-4	1.52538e-13
1.24783e-4	2.56895e-13
1.67455e-4	4.86305e-13
1.98880e-4	7.17937e-13
2.66069e-4	1.10210e-12
3.03704e-4	1.50885e-12
3.60698e-4	2.10931e-12
4.66857e-4	3.15621e-12
6.28724e-4	4.71685e-12
7.66734e-4	5.85604e-12
1.04528e-3	9.14062e-12
2.09101e-3	2.57975e-11
5.76573e-3	7.29771e-11
8.86313e-3	1.12239e-10
1.50457e-2	1.64057e-10
2.91538e-2	2.42734e-10
6.20404e-2	2.80579e-10
2.31945e-1	2.02916e-10
3.94597e-1	1.48160e-10
1.74202e+0	5.89492e-11
3.30186e+0	3.87163e-11
6.18980e+0	2.64794e-11
1.12261e+1	1.88017e-11
2.17526e+1	1.29643e-11
4.50320e+1	1.08619e-11
9.32248e+1	1.19210e-11
1.80640e+2	1.66042e-11
3.16959e+2	2.46875e-11
5.20552e+2	3.66425e-11
8.27106e+2	5.40295e-11
1.23007e+3	8.02415e-11
1.82936e+3	1.13049e-10
2.84956e+3	1.67022e-10
4.41169e+3	2.38757e-10
1.31341e+4	4.19560e-10
2.60593e+4	5.30308e-10
5.14068e+4	6.18866e-10
1.10521e+5	6.20775e-10
2.89427e+5	5.70292e-10
9.15247e+5	4.35536e-10
2.76890e+6	3.18009e-10
1.38230e+7	1.85111e-10
2.67846e+7	1.32991e-10
4.39892e+7	9.35832e-11
6.54207e+7	6.41560e-11
9.41282e+7	4.33876e-11
1.31897e+8	3.16997e-11
2.22426e+8	2.06130e-11
3.90279e+8	1.34940e-11
7.31633e+8	9.17901e-12
1.41767e+9	6.14988e-12
4.36470e+9	4.34153e-12
9.03574e+9	3.45665e-12
1.99849e+10	2.61737e-12
3.29427e+10	1.92480e-12
1.23233e+11	9.69423e-13
2.09195e+11	6.85110e-13
3.32391e+11	4.85322e-13
5.95410e+11	3.01044e-13
2.29574e+12	1.24610e-13
